request,PS_g,PS_r,PS_i,PS_z,PS_y,p,pe
4409340076070042496,18.1015,17.9956,18.006901,18.067801,18.090099,11.01857661,0.244234903
4409986554547744640,18.86289978,18.4029007,18.22089958,18.16609955,18.15600014,16.43409314,0.179621783
4411572123331402880,18.045,17.379,17.098,16.994,16.95,30.88469902,0.133756446
4412554051637282560,19.1628,18.815599,18.668501,18.6266,18.620199,13.64845585,0.336557965
4413133013228067456,20.172001,19.4107,19.0762,18.951599,18.9144,14.00038008,0.388128746
44134980855106944,19.6516,19.0641,18.8375,18.743,18.706699,12.79904707,0.426719021
4414147965539633408,17.6173,17.5644,17.58,17.6618,17.7306,13.58836022,0.148070349
4414670375297716608,17.4184,17.3424,17.3389,17.4125,17.4412,15.09064866,0.137228737
4414890277623163264,0,0,0,0,0,10.05370563,0.57672494
4414967307861766016,0,0,0,0,0,12.88573468,0.397732484
4415021737982254080,0,0,0,0,0,16.12601357,0.445870474
4415404333668291968,0,0,0,0,0,12.2914332,0.50989043
4415701304886958848,0,0,0,0,0,15.49407214,0.068828247
4415725940820061824,15.25940037,15.53709984,15.80780029,16.04059982,16.20680046,13.90614217,0.093822748
4416547310366442752,18.598801,18.1943,18.0368,17.985399,17.9832,10.69349407,0.201834226
4416948833973175168,19.00390053,18.82859993,18.7942009,18.84970093,18.91250038,13.01595174,0.304157775
4417226117061248256,19.31329918,18.84320068,18.65060043,18.57859993,18.53720093,13.14714626,0.31608362
4418428093724668928,18.0627,17.7866,17.693001,17.6964,17.718201,18.76628132,0.155615122
4420124124769394176,17.96610069,17.96080017,18.03739929,18.13479996,18.2201004,13.62579984,0.231702559
4420803996617732352,19.1432,18.7861,18.6812,18.6607,18.646601,14.03995213,0.252778036
4421098773108860928,16.842,16.751,16.756,16.812,16.884,18.56000412,0.083831858
4421694158655153664,16.6656,16.736601,16.8659,16.997499,16.9398,16.82663133,0.110890916
4422618092019322880,0,0,0,0,0,11.58750853,0.685564125
4422929253811220224,0,0,0,0,0,10.62197685,0.457636206
4423112971035634560,0,0,0,0,0,10.12556014,0.886244259
4423768662219609088,17.44779968,17.46150017,17.51759911,17.62969971,17.72319984,11.29369173,0.141784608
4423790579436883072,19.4296,19.114901,18.968,18.9128,18.9778,11.46782518,0.452332298
4423803223819720704,18.72960091,18.5170002,18.45899963,18.47310066,18.52339935,11.83591182,0.203223604
4424957298712211840,19.753401,19.135,18.8556,18.773899,18.6856,14.34986752,0.332565929
442497084509645568,16.4153,16.4454,16.5513,16.691,16.773899,19.24586319,0.066778866
4425202936481819520,18.992599,18.8428,18.829901,18.875799,18.9431,10.39635315,0.292687843
4425632987265111680,16.224,15.992,15.991,16.065,16.21,44.46650981,0.085062653
4425884324454250752,0,0,0,0,0,12.3903083,0.59402444
4426297740826647680,0,0,0,0,0,10.54612115,0.391619603
4426414946193200128,19.107401,18.731899,18.570101,18.5144,18.5769,13.58835944,0.288169749
4426435871273922560,15.76210022,16.11860085,16.45759964,16.71910095,16.9076004,11.26073375,0.080680286
4426526336164594048,0,0,0,0,0,10.85846349,0.382532329
4427021425634792832,18.92869949,18.53520012,18.36230087,18.3302002,18.34679985,16.34162956,0.253905838
4427716454423219968,0,0,0,0,0,14.39545215,0.417769101
442821333062173824,19.7304,19.294001,19.081499,19.065001,18.9688,10.10627628,0.346436152
4429106481934491136,15.88099957,16.17009926,16.39450073,16.62420082,16.78389931,11.45366439,0.068820028
4429655653631543552,0,0,0,0,0,18.07904235,0.529976474
442969359113685504,0,0,0,0,0,10.82121318,0.378929776
4430165650933432576,17.45470047,17.49670029,17.64669991,17.78039932,17.92970085,11.39590446,0.11393405
4430598343119366528,0,0,0,0,0,11.57743587,0.784439998
4430790968108076544,19.06369972,18.50259972,18.28700066,18.19630051,18.16060066,16.9816547,0.236891242
443090202311138304,0,0,0,0,0,13.77570784,0.448700017
4431665212995124608,17.6201992,17.67420006,17.7901001,17.92900085,18.02610016,11.26444403,0.144047481
4431923014112788608,18.350401,18.263,18.2486,18.2985,18.347601,10.38073543,0.175091563
443228770838923904,19.2728,18.6278,18.3561,18.261801,18.255899,16.53343927,0.257573294
4433378806161595904,18.1852,17.756001,17.593599,17.524401,17.3985,21.9443838,0.145878293
443384145574953472,20.2181,19.590099,19.2868,19.1999,19.180799,11.79132328,0.400036981
4434222196004715904,0,0,0,0,0,21.90946798,0.220785846
4434222200299612416,19.0881,18.2826,18.1455,18.0014,17.913401,21.80444665,0.207630903
4434273946068357248,18.9643,18.7607,18.717501,18.735001,18.7925,11.5753842,0.238789392
4434747350246957184,19.396799,18.780399,18.5196,18.4431,18.379601,15.31440102,0.294417428
4434749725365419520,16.5816,16.681801,16.840599,17.0054,17.1229,13.86889623,0.078485524
4435441863637766016,20.2355,19.625799,19.365101,19.2822,19.2516,10.93247836,0.447592123
4435598234807569536,17.457701,17.259199,17.233,17.2642,17.277201,17.9387953,0.108416244
4435778215414219520,16.42740059,16.41410065,16.45100021,16.56040001,16.63730049,27.77908656,0.062914282
4436905352274528896,16.7526,17.057199,17.325701,17.5569,17.756599,16.27777711,0.091279599
443737093108523648,0,0,0,0,0,10.57258296,0.065046217
4437515851806126208,18.64139938,18.2696991,18.16139984,18.11680031,18.18199921,14.82338192,0.179645482
4437842960812987520,0,0,0,0,0,13.89890116,0.09994969
4437884055061048064,16.8559,16.7323,16.735201,16.766399,16.8307,14.2036992,0.088895416
4438164190006954880,18.27389908,18.25130081,18.44729996,18.51650047,18.49850082,12.93796181,0.191526625
4438653541403499776,17.5509,17.5893,17.690201,17.8162,17.881201,11.92150299,0.126774269
4438770158349772672,0,0,0,0,0,10.92096655,0.884935161
4438822655736145408,19.634899,19.144199,18.9305,18.8256,18.798,12.54196041,0.405155442
4438920104247917824,19.355101,18.7885,18.552299,18.452101,18.4317,15.26242738,0.258961753
4439766762564880512,17.823999,17.7967,17.8766,17.9788,17.9972,10.78724845,0.160443848
4440057823911572992,18.6541,18.2132,18.0695,18.0378,18.016399,16.57853508,0.201795425
4440264291578812928,0,0,0,0,0,77.37638621,0.034024837
444163836759253248,18.730301,18.4655,18.3479,18.340099,18.3818,14.03531673,0.206991067
4441859476787744768,0,0,0,0,0,10.37038182,0.530839435
4442814402637407744,18.980101,18.513901,18.339399,18.3018,18.261101,14.88409336,0.196287558
4443161298553008000,19.9007,19.3818,19.173,19.097799,18.9667,14.64419673,0.425136274
4443342649254940288,16.2565,16.4298,16.629801,16.833401,16.979401,11.64096539,0.076323939
4443586358581794176,17.976999,17.870501,17.865601,17.9135,17.997299,11.41316623,0.126385509
4444590625015876864,18.189,17.632,17.398,17.332,17.305,34.01068986,0.131356069
4445708312943856128,0,0,0,0,0,12.19074467,0.351385888
4446506356529203968,18.093399,17.898001,17.8365,17.861401,17.9084,12.09223871,0.146372842
4446863869601988096,19.0462,18.331499,18.037399,17.9151,17.8332,21.36629226,0.220752108
4446890665906313088,0,0,0,0,0,10.14608459,0.52672105
4447022061837071744,16.35899925,16.57180023,16.7791996,16.98959923,17.12599945,11.514693,0.082961224
4447039585308297088,18.79940033,18.54439926,18.45210075,18.47109985,18.48460007,13.1745382,0.24180315
4447152865064276736,18.91349983,18.43659973,18.25620079,18.19599915,18.17770004,15.03417818,0.172384878
44478578238260864,17.6752,17.6413,17.687599,17.8221,17.851999,10.63774256,0.157871001
4448378171991893888,16.85580063,17.08580017,17.32329941,17.54380035,17.7045002,10.04044973,0.110506886
4448453209363580160,19.298201,18.890499,18.720301,18.7019,18.691799,18.37293874,0.315509463
4449057326579614592,18.95420074,18.46310043,18.28070068,18.21179962,18.19580078,16.11846371,0.185036266
4449495546386664832,18.91710091,18.59760094,18.4871006,18.46360016,18.47019959,12.11081134,0.259458265
4449576978966382848,0,0,0,0,0,10.38917072,0.693586117
4449634256649531776,19.1045,18.896799,18.863199,18.885099,18.916901,10.09235075,0.273512644
4449818459207085696,0,0,0,0,0,11.84468525,0.908477881
4450425359563998720,17.74239922,17.7098999,17.8132,17.92630005,18.02709961,11.68648004,0.128982187
4450425359563998848,17.742399,17.7099,17.8132,17.9263,18.0271,11.58052407,0.149393842
4451097882722882432,18.9044,18.613899,18.5364,18.526699,18.5525,12.20756835,0.234743448
4451552182885460480,17.59070015,17.46719933,17.45219994,17.4946003,17.54450035,14.29910099,0.134902036
4451684128578768384,16.459101,16.5653,16.7353,16.883101,17.0065,13.07652478,0.066693481
4451874958268328960,18.788401,18.5301,18.433399,18.4172,18.4349,11.95163228,0.216414681
4452521234885949184,16.254,16.054,16.048,16.042,16.082,39.87868981,0.049166876
4452997701376633728,17.837,17.145,16.851,16.753,16.721,35.79506299,0.092764324
4453746571874680064,0,0,0,0,0,10.03670623,0.122835286
4453863223185599744,15.87800026,16.16720009,16.45269966,16.69309998,16.85330009,10.21825537,0.072953397
4453933690711829504,18.7808,18.2514,18.021601,17.948999,17.9193,17.93607958,0.196498041
