Gaia DR2 2368814823275272064,20.131,0.0201,19.6306,0.0229,19.4038,0.0092,19.3475,0.0144,19.2916,0.0317,True,gSDSS,
Gaia DR2 2362047470941117312,18.1202,0.0057,17.6953,0.0017,17.5148,0.0042,17.4848,0.0079,17.4365,0.019,True,approx_rSDSS,
Gaia DR2 2856257606661059456,16.6535,0.0069,16.8523,0.0036,17.0762,0.0034,17.2723,0.0042,17.4029,0.0092,True,gSDSS,
Gaia DR2 2542192757410302720,20.9926,0.0155,20.1634,0.0139,19.8087,0.0144,19.646,0.0211,19.4523,0.0446,True,gSDSS,
Gaia DR2 2754002711744980480,18.3831,0.0109,18.0776,0.0077,17.978,0.0097,18.0126,0.0143,18.0361,0.0226,True,gSDSS,
Gaia DR2 530910734346043264,19.5476,0.0137,18.7912,0.0122,18.4329,0.0064,18.3189,0.004,18.2822,0.0132,True,approx_rSDSS,
Gaia DR2 529594417061837824,17.8797,0.0121,17.4778,0.0065,17.2785,0.0058,17.193,0.0133,17.0776,0.0004,True,approx_rSDSS,
Gaia DR2 2750965864924379264,18.4646,0.0074,18.3106,0.0063,18.2768,0.0031,18.2914,0.0078,18.2946,0.0159,True,gSDSS,
Gaia DR2 2799839702239434240,19.0321,0.0111,18.6786,0.0061,18.558,0.0077,18.5442,0.0128,18.4859,0.0379,True,gSDSS,
Gaia DR2 428300220431345536,17.5973,0.0111,17.6808,0.0029,17.8288,0.0071,17.9855,0.0091,18.1191,0.0136,True,approx_rSDSS,
Gaia DR2 366429258027943040,19.2235,0.0125,18.7606,0.0103,18.5773,0.0062,18.5304,0.0103,18.5466,0.0242,True,gSDSS,
Gaia DR2 2749042299395966976,19.5568,0.0124,19.1044,0.011,18.9185,0.0064,18.8756,0.0089,18.8139,0.0295,True,gSDSS,
Gaia DR2 2755903045794863872,20.7474,0.0176,20.0339,0.0189,19.733,0.0116,19.6529,0.0181,19.5054,0.0294,True,gSDSS,
Gaia DR2 2424880574738721408,16.2029,0.0028,16.2655,0.0031,16.3903,0.0015,16.5192,0.003,16.6015,0.0049,True,gSDSS,
Gaia DR2 379359102453525376,15.9352,0.0032,16.0077,0.0025,15.8376,0.0017,15.4547,0.0029,15.0899,0.0027,True,gSDSS,
Gaia DR2 2541100293825029376,18.3131,0.0085,18.0143,0.0056,17.8995,0.0057,17.8948,0.009,17.923,0.0098,True,gSDSS,
Gaia DR2 428839049848462080,19.6319,0.0335,18.9614,0.0078,18.6491,0.0178,18.5814,0.0103,18.5421,0.0172,True,approx_rSDSS,
Gaia DR2 2747843836017055488,17.2921,0.0046,17.1822,0.0072,17.1642,0.0047,17.2179,0.0037,17.2746,0.013,True,gSDSS,
Gaia DR2 2747384888699406080,18.5649,0.007,17.9465,0.011,17.7091,0.004,17.7366,0.0051,17.8958,0.0131,True,gSDSS,
Gaia DR2 2800103825548199168,18.22,0.0103,18.0918,0.0071,18.1172,0.0041,18.1979,0.0147,18.2066,0.0181,True,gSDSS,
Gaia DR2 2792919650932258560,19.4881,0.0091,19.1224,0.0072,18.9751,0.0049,18.9442,0.0103,18.9164,0.0362,True,gSDSS,
Gaia DR2 419438916923451648,20.5345,0.0375,19.7531,0.017,19.4357,0.0148,19.323,0.0323,19.2572,0.0762,True,approx_rSDSS,
Gaia DR2 2360890750348085376,18.4876,0.0063,18.2243,0.0047,18.0694,0.0109,18.0189,0.0023,0,0,True,approx_rSDSS,
Gaia DR2 2555215995900584448,16.3742,0.0082,15.9491,0.003,15.7855,0.0053,15.7355,0.0062,15.7214,0.0041,True,gSDSS,
Gaia DR2 2541126609088680448,19.3128,0.015,18.9958,0.0134,18.8526,0.0097,18.8387,0.0179,18.8072,0.0236,True,gSDSS,
Gaia DR2 2540674885904495744,15.907,0.0043,16.2012,0.0035,16.5022,0.0045,16.7248,0.0069,16.9057,0.0055,True,gSDSS,
Gaia DR2 530147810713379584,19.0471,0.0226,18.7801,0.0101,18.6749,0.0092,18.6978,0.0088,18.6883,0.0121,True,approx_rSDSS,
Gaia DR2 2423639260470066816,20.0302,0.0154,19.4483,0.0081,19.2837,0.0105,19.2077,0.0166,19.1432,0.0141,True,approx_rSDSS,
Gaia DR2 381688731368854272,20.8375,0.0374,20.0119,0.0085,19.6417,0.0062,19.5204,0.017,19.4701,0.0213,True,approx_rSDSS,
Gaia DR2 2527645501315778432,19.7886,0.0102,19.1156,0.006,18.8713,0.0064,18.808,0.0152,18.7681,0.0178,True,gSDSS,
Gaia DR2 2540822937721559808,20.1249,0.0103,19.3155,0.0094,18.993,0.0043,18.8378,0.0108,18.7363,0.026,True,gSDSS,
Gaia DR2 2555604467102461440,18.6099,0.0145,18.5061,0.0064,18.5062,0.0048,18.5742,0.0137,18.6333,0.019,True,gSDSS,
Gaia DR2 2540716216374137984,19.7077,0.0097,19.0243,0.0094,18.7352,0.0099,18.638,0.0117,18.6133,0.0218,True,gSDSS,
Gaia DR2 2858896086675180928,18.7783,0.007,18.5187,0.0044,18.4353,0.0071,18.4428,0.0112,18.4699,0.0221,True,gSDSS,
Gaia DR2 574151129345376000,20.9153,0.012,20.0996,0.0316,19.7174,0.02,19.5925,0.0334,19.331,0.1858,True,approx_rSDSS,
Gaia DR2 2807784223505933952,17.3169,0.0047,17.2933,0.0036,17.3784,0.0022,17.4702,0.0065,17.5466,0.0115,True,gSDSS,
Gaia DR2 2796074252871563776,18.3618,0.0028,18.2453,0.0032,18.277,0.0073,18.3448,0.01,18.3633,0.0219,True,gSDSS,
Gaia DR2 2319157820148589312,17.0005,0.0012,16.9479,0.0034,16.9964,0.002,17.0849,0.0047,17.1452,0.0133,True,approx_rSDSS,
Gaia DR2 380936558041253888,19.5754,0.0093,19.1408,0.0038,18.9648,0.0053,18.9332,0.0132,18.9369,0.0226,True,approx_rSDSS,
Gaia DR2 366784816895496064,16.2704,0.0018,16.6342,0.0031,16.9838,0.0058,17.2587,0.0059,17.4406,0.0074,True,gSDSS,
Gaia DR2 2856067008897130112,18.7935,0.0107,18.4708,0.0056,18.3738,0.0034,18.3732,0.0092,18.3866,0.017,True,gSDSS,
Gaia DR2 365204711311382400,19.6636,0.0139,19.1587,0.0062,18.9299,0.007,18.8582,0.0068,18.7688,0.0135,True,gSDSS,
Gaia DR2 2318454922980422272,19.548,0.024,18.9571,0.0052,18.6988,0.0079,18.669,0.0224,18.5122,0.0144,True,approx_rSDSS,
Gaia DR2 421855815284333696,17.3224,0.0058,17.3361,0.0033,17.4178,0.0087,17.5246,0.0118,17.5533,0.0157,True,approx_rSDSS,
Gaia DR2 2364195122092662912,20.8894,0.0428,19.8944,0.023,19.527,0.0126,19.5381,0.0278,19.4681,0.0402,True,gSDSS,
Gaia DR2 2795833567198957568,20.0126,0.0168,19.4979,0.0126,19.2635,0.01,19.1706,0.0226,19.1657,0.06,True,gSDSS,
Gaia DR2 415848423045923968,20.118,0.0113,19.4573,0.0069,19.2249,0.0074,19.1093,0.0163,19.0982,0.0231,True,approx_rSDSS,
