request,su,sg,sr,si,sz,PS_g,PS_r,PS_i,PS_z,PS_y
Gaia DR2 1057653804222121600,18.63,18.108,17.968,18,18.051,18.15920067,17.98830032,18.02440071,18.04739952,18.1208992
Gaia DR2 105869844334930176,0,0,0,0,0,17.4956,17.3592,17.356001,17.3904,17.4074
Gaia DR2 1059423708705441152,21.405,19.644,18.951,18.653,18.627,19.53470039,18.95199966,18.68320084,18.59519959,18.57600021
Gaia DR2 1062257081450709632,0,0,0,0,0,16.4991,16.629801,16.8167,17.002899,17.142401
Gaia DR2 106241174322991360,18.278,17.927,18.008,18.14,18.333,17.927,18.017599,18.163099,18.305099,18.4238
Gaia DR2 1062419637373273728,20.066,19.256,18.874,18.759,18.784,19.2087,18.898899,18.766199,18.7498,18.649799
Gaia DR2 1064966106303092864,20.207,18.866,18.354,18.144,18.124,18.837999,18.346701,18.152399,18.1199,18.0219
Gaia DR2 1064978578888570496,21.542,19.349,18.396,18.052,17.856,19.243099,18.401199,18.054399,17.907499,17.82
Gaia DR2 1065088220813167744,18.95678,18.58107,18.49244,18.5714,18.55834,18.57589912,18.5196991,18.57509995,18.68129921,18.7737999
Gaia DR2 1065549087983653248,0,0,0,0,0,20.367201,19.451099,19.099899,18.9741,18.9702
Gaia DR2 1066195291583130240,0,0,0,0,0,16.9044,16.8617,16.927999,17.030399,17.1017
Gaia DR2 1066726497434084864,18.002,16.988,16.533,16.391,16.317,16.947599,16.5546,16.3881,16.3486,16.3582
Gaia DR2 1067421801098857728,20.589,19.281,18.697,18.501,18.393,20.210199,18.729099,18.521601,18.4286,18.447001
Gaia DR2 1067799822645432192,16.105,16.163,16.58,16.891,17.157,16.2383,16.569901,16.887199,17.1745,17.3342
Gaia DR2 1068317142866278016,20.395,19.522,19.169,19.058,19.044,19.510799,19.1668,19.0434,19.056601,19.055401
Gaia DR2 1068706339918614016,18.25624,17.86427,17.80055,17.76535,17.80393,17.87380028,17.7772007,17.81489944,17.88240051,17.95459938
Gaia DR2 106904970108616064,0,0,0,0,0,19.1394,18.7684,18.6451,18.5882,18.5513
Gaia DR2 1069735341067492224,19.0405,18.38187,18.18949,18.11806,18.16765,18.40769959,18.19939995,18.14789963,18.20369911,18.16589928
Gaia DR2 1070129451562454400,17.8607,17.56517,17.65807,17.77061,17.83609,17.59449959,17.67519951,17.81489944,17.92130089,17.96479988
Gaia DR2 1070600145618332160,16.199,15.815,16.097,16.344,16.606,15.84749985,16.09329987,16.34889984,16.57690048,16.75359917
Gaia DR2 1071186318459220864,0,0,0,0,0,18.944799,18.2764,18.012199,17.9317,17.8808
Gaia DR2 1071510262072374400,0,0,0,0,0,19.010799,18.577499,18.442499,18.422199,18.361601
Gaia DR2 1072135162634499584,0,0,0,0,0,17.1106,17.2078,17.365601,17.5448,17.6588
Gaia DR2 1072297241815804672,0,0,0,0,0,18.958401,18.6602,18.560101,18.5954,18.577299
Gaia DR2 107258115204283648,21.937,20.539,19.76,19.448,19.407,0,0,0,0,0
Gaia DR2 1073136233611472512,0,0,0,0,0,18.2637,18.0005,17.9207,17.9069,17.9681
Gaia DR2 1073810479053112192,0,0,0,0,0,17.611099,17.576,17.671,17.7908,17.85
Gaia DR2 1073988187620042112,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1075122127704964864,21.229,19.831,19.314,19.103,19.053,19.7456,19.280001,19.084101,19.0417,18.990999
Gaia DR2 1075215414395152640,0,0,0,0,0,15.8414,16.138901,16.4321,16.6882,16.845301
Gaia DR2 1075673567146680576,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1076941716370493696,0,0,0,0,0,17.282,16.556,16.271,16.193,16.123
Gaia DR2 1077107326013713280,0,0,0,0,0,18.0487,17.9888,18.0186,18.1035,18.188499
Gaia DR2 1077590114697601024,0,0,0,0,0,18.2001,18.0457,18.059799,18.130899,18.066099
Gaia DR2 1077834348013805440,0,0,0,0,0,17.025499,16.987101,17.0877,17.196699,17.2745
Gaia DR2 107794440655024896,21.142,19.972,19.385,19.175,19.189,0,0,0,0,0
Gaia DR2 1078174028387141120,0,0,0,0,0,17.780399,17.706499,17.7104,17.8055,17.8701
Gaia DR2 1078435609075419264,0,0,0,0,0,16.9883,16.969601,17.060699,17.173599,17.2651
Gaia DR2 1078624858218235776,0,0,0,0,0,19.999399,19.4755,19.3568,19.356199,19.3179
Gaia DR2 1078762846927880192,0,0,0,0,0,19.1054,18.780001,18.7173,18.702101,18.7134
Gaia DR2 1079502577736051456,23.359,20.501,19.675,19.334,19.103,0,0,0,0,0
Gaia DR2 1079787355542320256,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1080170840286325632,22.882,20.929,20.066,19.684,19.497,0,0,0,0,0
Gaia DR2 1080303919849120128,16.95,16.674,16.705,16.773,16.902,16.7055,16.706499,16.7754,16.915501,16.9921
Gaia DR2 1080678230543387648,21.825,20.007,19.144,18.85,18.684,0,0,0,0,0
Gaia DR2 1081101959132720768,0,0,0,0,0,17.2556,17.190399,17.2001,17.2796,17.336399
Gaia DR2 1081504483467714176,0,0,0,0,0,16.0515,16.146099,16.280701,16.4695,16.5777
Gaia DR2 1081514379072280320,0,0,0,0,0,19.090599,18.302099,17.9133,17.7817,17.674101
Gaia DR2 1081813343155426560,0,0,0,0,0,15.05360031,15.11439991,15.26970005,15.40869999,15.53950024
Gaia DR2 1082953944734686720,0,0,0,0,0,17.342501,17.186899,17.165001,17.204901,17.270599
Gaia DR2 1084764020047940096,0,0,0,0,0,16.0627,16.013901,16.0872,16.175501,16.2833
Gaia DR2 1085824013680633984,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1086097585917670784,0,0,0,0,0,18.260401,18.1644,18.188499,18.2486,18.3221
Gaia DR2 1086343945241426176,0,0,0,0,0,19.2363,18.5791,18.343599,18.258699,18.103001
Gaia DR2 108636215590811264,0,0,0,0,0,18.625601,18.586,18.5877,18.676399,18.730301
Gaia DR2 1086367795195787776,0,0,0,0,0,17.3976,17.383101,17.4571,17.57,17.632099
Gaia DR2 1086376552633126528,0,0,0,0,0,19.5215,19.2103,19.0895,19.0835,19.0156
Gaia DR2 1087317562789799680,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1087317567082694912,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1087402465701252608,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1087442842689746048,0,0,0,0,0,15.78579998,15.9467001,16.15940094,16.32869911,16.46319962
Gaia DR2 1087504449701073536,0,0,0,0,0,18.3405,18.1943,18.190399,18.259199,18.2801
Gaia DR2 1087845637607089536,0,0,0,0,0,18.9505,18.638,18.5261,18.488001,18.472601
Gaia DR2 1087952221515163136,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1088322451991772288,0,0,0,0,0,17.988501,17.687201,17.568399,17.5529,17.5452
Gaia DR2 1089400763661597440,0,0,0,0,0,16.543,15.97,15.753,15.679,15.642
Gaia DR2 1090281266317635584,0,0,0,0,0,16.203501,16.3948,16.6488,16.860399,16.991301
Gaia DR2 1090742064769027072,0,0,0,0,0,15.7385,16.0238,16.336399,16.573299,16.7472
Gaia DR2 1091005054206114304,0,0,0,0,0,19.640699,18.960899,18.6667,18.585899,18.5257
Gaia DR2 1091532957227703424,0,0,0,0,0,20.315599,19.462601,19.1189,18.9569,18.827
Gaia DR2 1091539932251446912,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1091658198472977920,0,0,0,0,0,15.00119972,15.24969959,15.49860001,15.72439957,15.90380001
Gaia DR2 1092212244957254656,0,0,0,0,0,18.5931,18.3104,18.2164,18.2314,18.2463
Gaia DR2 109247788869176448,18.47,17.68,17.36,17.25,17.2,17.661,17.367,17.27,17.259,17.275
Gaia DR2 1092515229130044544,19.424,18.754,18.439,18.363,18.349,18.7278,18.447001,18.3748,18.3873,18.4084
Gaia DR2 1094608119452121856,18.082,17.857,17.905,17.969,18.07,17.881901,17.8992,18.005301,18.1147,18.2344
Gaia DR2 1094919590481107968,17.473,16.94,16.765,16.74,16.823,16.900101,16.7453,16.743099,16.787901,16.896099
