designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,su,sg,sr,si,sz
Gaia DR2 2299190006090503808,2299190006090503808,328.9507783,82.12256133,11.18873922,0.042462567,-2.211004365,-23.25413015,16.239502,16.136106,16.374376,-0.2382698,0,0,0,0,0
Gaia DR2 2133428006746986112,2133428006746986112,287.5133559,51.67637293,11.80872077,0.348740711,-2.24258987,-49.89529526,19.531912,19.951096,18.775225,1.1758709,0,0,0,0,0
Gaia DR2 6252571161398782848,6252571161398782848,229.1966615,-21.65998371,14.28961645,0.196457247,-2.245044605,-38.02038341,18.2739,18.421833,17.836454,0.58537865,0,0,0,0,0
Gaia DR2 352179415533582080,352179415533582080,33.87643892,44.8990933,10.16456132,0.466210756,-2.252079788,-56.87250237,18.879774,19.121252,18.40464,0.71661186,19.786,19.079,18.842,18.706,18.694
Gaia DR2 4375889015345425536,4375889015345425536,265.425229,1.760600275,12.91243522,0.484640927,-2.292345003,126.4990217,19.472528,20.03458,18.868624,1.1659565,0,0,0,0,0
Gaia DR2 280333821081574528,280333821081574528,80.82285563,58.47831979,11.39379483,0.301109648,-2.306686441,-14.31526076,18.938356,19.18753,18.55748,0.63005066,0,0,0,0,0
Gaia DR2 857165662854257792,857165662854257792,164.173854,57.24637438,10.60148513,0.139371202,-2.346955354,-138.9864828,18.266163,18.341417,17.937946,0.403471,18.74401,18.37393,18.27461,18.30359,18.40404
Gaia DR2 2417707773195419136,2417707773195419136,0.80178876,-14.18141308,12.85280133,0.429809811,-2.354303498,-155.1293864,19.421692,19.789993,18.71218,1.0778141,0,0,0,0,0
Gaia DR2 1220062430539961344,1220062430539961344,239.9057222,25.48557681,18.53115481,0.055013008,-2.362725756,-75.7691246,16.487617,16.582327,16.254128,0.3281994,16.98587,16.57216,16.52246,16.56828,16.66243
Gaia DR2 3068568010588919936,3068568010588919936,119.8551712,-3.989495239,11.68053686,0.169326284,-2.399373588,-31.68614066,18.064816,18.202002,17.742794,0.45920753,0,0,0,0,0
Gaia DR2 5726753059974698496,5726753059974698496,123.8256881,-13.06912905,10.85601996,0.147050012,-2.406080868,-74.50284706,17.723782,17.787146,17.546963,0.24018288,0,0,0,0,0
Gaia DR2 4249374156570938368,4249374156570938368,304.224608,6.054009882,10.98215959,0.234462986,-2.411484594,-42.76487234,17.943674,18.051083,17.71506,0.33602333,0,0,0,0,0
Gaia DR2 3964744479135122560,3964744479135122560,167.4406554,12.43517925,14.53080256,0.236827179,-2.449013997,-5.971989293,18.44811,18.664406,18.109283,0.5551224,19.1,18.57,18.43,18.43,18.41
Gaia DR2 4114818260040838912,4114818260040838912,260.3894425,-22.16906238,11.57348315,0.211883821,-2.458946589,22.98139524,18.31926,18.48202,18.003592,0.4784279,0,0,0,0,0
Gaia DR2 2855799415254881408,2855799415254881408,5.093257236,26.66970837,10.40157757,0.069395435,-2.473787516,12.5389772,16.126665,16.081577,16.207624,-0.12604713,16.324,15.977,16.236,16.489,16.749
Gaia DR2 3246152023374303104,3246152023374303104,58.70407391,-4.916732916,15.52732169,0.091713492,-2.475552894,69.45728389,16.809193,16.811968,16.67753,0.13443756,17.032,16.821,16.846,16.98,17.133
